NCT Number,Title,Status,Gender,Phases,Enrollment,Locations,URL
NCT04372368,Convalescent Plasma for the Treatment of Patients With COVID-19,No longer available,All,,,"Children's Hospital Colorado, Aurora, Colorado, United States|University of Colorado Hospital, Aurora, Colorado, United States|UCHealth Memorial Hospital North, Colorado Springs, Colorado, United States|Denver Health Medical Center, Denver, Colorado, United States|UCHealth Poudre Valley Hospital, Fort Collins, Colorado, United States|UCHealth Highlands Ranch Hospital, Highlands Ranch, Colorado, United States",https://ClinicalTrials.gov/show/NCT04372368
NCT04372472,SQuISH-COVID: A Pilot Study,"Active, not recruiting",All,,300,"Our Lady of the Lake Regional Medical Center, Baton Rouge, Louisiana, United States",https://ClinicalTrials.gov/show/NCT04372472
NCT04372589,Antithrombotic Therapy to Ameliorate Complications of COVID-19 (ATTACC),"Active, not recruiting",All,Phase 2|Phase 3,1203,"Emory University Hospital Midtown, Atlanta, Georgia, United States|University of Chicago, Chicago, Illinois, United States|Ochsner Clinic, Jefferson, Louisiana, United States|Maine Medical Center, Portland, Maine, United States|Henry Ford University, Dearborn, Michigan, United States|Beaumont Hospital, Royal Oak, Michigan, United States|Mayo Clinic, Rochester, Minnesota, United States|Saint Louis University School of Medicine/Saint Louis Veterans Affairs Medical Center, Saint Louis, Missouri, United States|Cooper University Health Care, Camden, New Jersey, United States|Hackensack University Medical Center, Hackensack, New Jersey, United States|Saint Barnabas Medical Center, Livingston, New Jersey, United States|Montefiore-Einstein Center for Heart and Vascular Care, New York, New York, United States|Vanderbilt University Medical Center, Nashville, Tennessee, United States|Santa Casa de Misericordia de Itabuna, Itabuna, BA, Brazil|Hospital Unimed do Cariri, Juazeiro do Norte, CE, Brazil|Instituto Goiano de Oncologia e Hematologia - INGOH, Goiania, Goias, Brazil|Centro de Pesquisas Clínicas Humap - UFMS, Campo Grande, Mato Grosso Do Sul, Brazil|Hospital Felício Rocho, Belo Horizonte, MG, Brazil|Clinica de Campo Grande S/A, Campo Grande, MS, Brazil|Unimed Campo Grande, Campo Grande, MS, Brazil|Hospital Agamenon Magalhaes, Recife, Pernanbuco, Brazil|Hospital das Clinicas da UFPR, Curitiba, PR, Brazil|Pontifícia Universidade Católica do Paraná, Curitiba, PR, Brazil|Parana Medical Research Center, Maringa, PR, Brazil|Hospital Sao Vicente de Paulo, Passo Fundo, Rio Grande Do Sul, Brazil|Hospital Universitario Pedro Ernesto, Rio de Janeiro, RJ, Brazil|Hospital de Clinicas de Porto Alegre, Porto Alegre, RS, Brazil|Instituto de Cardiologia do Rio Grande do Sul, Porto Alegre, RS, Brazil|Instituto de Medicina Vascular, Porto Alegre, RS, Brazil|AngioCor Blumenau, Blumenau, Santa Catarina, Brazil|Instituto de Cardiologia de Santa Catarina, Sao Jose, Santa Catarina, Brazil|Instituto de Pesquisa Clínica de Campinas, Campinas, Sao Paulo, Brazil|Praxis Pesquisa Medica, Santo Andre, Sao Paulo, Brazil|Santa Casa de Votuporanga, Votuporanga, Sao Paulo, Brazil|Casa de Saúde Santa Marcelina, Sao Paulo, SP, Brazil|Instituto de Molestias Cardio Vasculares de Tatui, Tatui, SP, Brazil|Hospital 9 de Julho, São Paulo, Brazil|Hospital das Clinicas da Faculdade de Medicina da Universidade de São Paulo, São Paulo, Brazil|Instituto de Infectologia Emilio Ribas, São Paulo, Brazil|Instituto do Coração do Estado de São Paulo, São Paulo, Brazil|Sociedade Beneficente Israelita Hospital Albert Einstein, São Paulo, Brazil|Victoria General Hospital, Victoria, British Columbia, Canada|Health Sciences Center Winnipeg, Winnipeg, Manitoba, Canada|Grace General Hospital, Winnipeg, Manitoba, Canada|St. Boniface General Hospital, Winnipeg, Manitoba, Canada|Hamilton Health Sciences, Hamilton, Ontario, Canada|St. Joseph's Healthcare Hamilton, Hamilton, Ontario, Canada|Hôpital Montfort, Ottawa, Ontario, Canada|The Ottawa Hospital, Ottawa, Ontario, Canada|University Health Network, Toronto, Ontario, Canada|McGill University Health Centre, Montréal, Quebec, Canada|Centre Hospitalier de l'université de Montréal (CHUM), Montréal, Quebec, Canada|Jewish General Hospital, Montréal, Quebec, Canada|CHU de Quebec-University Laval, Québec, Quebec, Canada|Institut universitaire de cardiologie et de pneumologie de Québec (CRIUCPQ), Québec, Quebec, Canada|Centre Hospitalier Universitaire de Sherbrooke, Sherbrooke, Quebec, Canada|Regina General Hospital, Regina, Saskatchewan, Canada|Hospital de Infectolog´ñia Centro Médico Nacional La Raza, Azcapotzalco, Mexico City, Mexico|Hospital General Regional 1 Carlos MacGregor Sánchez Navarro, Benito Juárez, Mexico City, Mexico|Hospital General regional 2 El Marqués, Querétaro, Mexico",https://ClinicalTrials.gov/show/NCT04372589
NCT04372602,Duvelisib to Combat COVID-19,Recruiting,All,Phase 2,28,"Missouri Baptist Medical Center, Saint Louis, Missouri, United States|Washington University School of Medicine, Saint Louis, Missouri, United States",https://ClinicalTrials.gov/show/NCT04372602
NCT04372628,Trial of Early Therapies During Non-hospitalized Outpatient Window for COVID-19,Recruiting,All,Phase 2,600,"University of Colorado School of Medicine, Aurora, Colorado, United States|Beth Israel Deaconess Medical Center, Boston, Massachusetts, United States|University of Mississippi Medical Center, Jackson, Mississippi, United States|Oregon Health & Science University, Portland, Oregon, United States|Vanderbilt University Medical Center, Nashville, Tennessee, United States|University of Wisconsin, Madison, Wisconsin, United States",https://ClinicalTrials.gov/show/NCT04372628
NCT04373044,"Baricitinib, Placebo and Antiviral Therapy for the Treatment of Patients With Moderate and Severe COVID-19",Recruiting,All,Phase 2,144,"Los Angeles County-USC Medical Center, Los Angeles, California, United States|USC / Norris Comprehensive Cancer Center, Los Angeles, California, United States",https://ClinicalTrials.gov/show/NCT04373044
NCT04373135,"Understanding Community Considerations, Opinions, Values, Impacts, and Decisions for COVID-19","Active, not recruiting",All,Not Applicable,2500,"University of California, Los Angeles, Los Angeles, California, United States",https://ClinicalTrials.gov/show/NCT04373135
NCT04373148,"Understanding Immunity to SARS-CoV-2, the Coronavirus Causing COVID-19",Recruiting,All,,1000,"Stanford Health Care - ValleyCare, Pleasanton, California, United States|Stanford University, Hospital, and Clinics, Stanford, California, United States",https://ClinicalTrials.gov/show/NCT04373148
NCT04373161,Home Pulse Oximeter Use in Patients With COVID-19,Completed,All,Not Applicable,209,"Swedish Hospital, Chicago, Illinois, United States",https://ClinicalTrials.gov/show/NCT04373161
NCT04373460,Convalescent Plasma to Limit SARS-CoV-2 Associated Complications,Recruiting,All,Phase 2,1344,"University of Alabama at Birmingham, Birmingham, Alabama, United States|Center for American Indian Health - Chinle Office, Chinle, Arizona, United States|Mayo Clinic, Phoenix, Phoenix, Arizona, United States|University of Arizona, Phoenix, Tucson, Arizona, United States|University of Arizona, Tuscon, Tucson, Arizona, United States|Center for American Indian Health - Whiteriver Office, Whiteriver, Arizona, United States|University of California, Los Angeles, Los Angeles, California, United States|University of California, Irvine Health, Orange, California, United States|University of California, Davis, Sacramento, California, United States|Western Connecticut Health Netowrk, Danbury Hospital, Danbury, Connecticut, United States|Western Connecticut Health Network, Norwalk Hospital, Norwalk, Connecticut, United States|University of Miami, Coral Gables, Florida, United States|University of Miami Clinical Translational Research Site, Miami, Florida, United States|NorthShore University HealthSystem, Evanston, Illinois, United States|Tulane University, New Orleans, Louisiana, United States|Anne Arundel Medical Center, Annapolis, Maryland, United States|The Johns Hopkins University, Baltimore, Maryland, United States|MedStar Washington Hospital Center, Hyattsville, Maryland, United States|University of Massachusetts Worcester, Worcester, Massachusetts, United States|Wayne State University, Detroit, Michigan, United States|University of New Mexico Health Sciences Center, Albuquerque, New Mexico, United States|Center for American Indian Health - Gallup Office, Gallup, New Mexico, United States|Center for American Indian Health - Shiprock Office, Shiprock, New Mexico, United States|Vassar Brothers Medical Center, Poughkeepsie, New York, United States|University of Rochester, Rochester, New York, United States|University of Cincinnati Medical Center, Cincinnati, Ohio, United States|Lifespan/BrownUniversity (Rhode Island Hospital), Providence, Rhode Island, United States|Baylor College of Medicine, Houston, Texas, United States|University of Texas Health Science Center at Houston, Houston, Texas, United States|The University of Utah, Salt Lake City, Utah, United States",https://ClinicalTrials.gov/show/NCT04373460
NCT04374019,Novel Agents for Treatment of High-risk COVID-19 Positive Patients,Recruiting,All,Phase 2,240,"University of Kentucky Markey Cancer Center, Lexington, Kentucky, United States",https://ClinicalTrials.gov/show/NCT04374019
NCT04374071,Early Short Course Corticosteroids in COVID-19,Completed,All,,250,"Henry Ford Hospital, Detroit, Michigan, United States",https://ClinicalTrials.gov/show/NCT04374071
NCT04374149,Therapeutic Plasma Exchange Alone or in Combination With Ruxolitinib in COVID-19 Associated CRS,Completed,All,Phase 2,20,"Prisma Health, Greenville, South Carolina, United States",https://ClinicalTrials.gov/show/NCT04374149
NCT04374279,Trial to Promote Recovery From COVID-19 With Endocrine Therapy,Withdrawn,All,Phase 2,0,"Johns Hopkins Hospital, Baltimore, Maryland, United States",https://ClinicalTrials.gov/show/NCT04374279
NCT04374370,SARSCoV2 (COVID-19) Convalescent Plasma (CP) Expanded Access Protocol (EAP),Available,All,,,"AdventHealth Orlando, Orlando, Florida, United States",https://ClinicalTrials.gov/show/NCT04374370
NCT04374461,A Study of N-acetylcysteine in Patients With COVID-19 Infection,Recruiting,All,Phase 2,84,"Memorial Sloan Kettering Cancer Center, New York, New York, United States",https://ClinicalTrials.gov/show/NCT04374461
NCT04374552,Asymptomatic COVID-19 Trial,Withdrawn,All,Phase 2,0,"Robert Wood Johnson University Hospital, New Brunswick, New Jersey, United States",https://ClinicalTrials.gov/show/NCT04374552
NCT04374565,Convalescent Plasma for Treatment of COVID-19 Patients With Pneumonia,"Active, not recruiting",All,Phase 2,29,"University of Virginia Medical Center, Charlottesville, Virginia, United States|University of Virginia, Charlottesville, Virginia, United States",https://ClinicalTrials.gov/show/NCT04374565
NCT04374656,Prevalence of SARS-CoV-2 in Conjunctival Swab Samples Among Patients With Conjunctivitis During the COVID-19 Pandemic,Recruiting,All,,50,"Wilmer Eye Institute, Baltimore, Maryland, United States",https://ClinicalTrials.gov/show/NCT04374656
NCT04374786,Effects of Mobile App in House Staff Health and Well-being During COVID-19 Pandemic,Enrolling by invitation,All,Not Applicable,328,"Banner University Medical Center Phoenix, Phoenix, Arizona, United States",https://ClinicalTrials.gov/show/NCT04374786
NCT04375397,Study of Oral Ibrutinib Capsules to Assess Respiratory Failure in Adult Participants With Severe Acute Respiratory Syndrome Coronavirus-2 (SARS-CoV-2) and Pulmonary Injury,"Active, not recruiting",All,Phase 2,45,"Stanford Univ School Medicine /ID# 221954, Stanford, California, United States|Medstar Washington Hospital Center /ID# 221886, Washington, District of Columbia, United States|GW Medical Faculty Associates /ID# 222023, Washington, District of Columbia, United States|Midway Immunology and Research /ID# 222004, Fort Pierce, Florida, United States|University of Miami /ID# 223227, Miami, Florida, United States|Triple O Research Institute /ID# 222944, West Palm Beach, Florida, United States|Brigham & Women's Hospital /ID# 221847, Boston, Massachusetts, United States|Beth Israel Deaconess Medical Center /ID# 222994, Boston, Massachusetts, United States|Intermountain Healthcare /ID# 221955, Salt Lake City, Utah, United States",https://ClinicalTrials.gov/show/NCT04375397
NCT04375761,COVID-19: Human Epidemiology and Response to SARS-CoV-2,Completed,All,,5599,"Children's Hospital Colorado: Inner City Asthma Consortium (ICAC) Site, Aurora, Colorado, United States|Children's Hospital Colorado: Outcome Measures in Eosinophilic Gastrointestinal Disorders Across the Ages (OMEGA) Site, Aurora, Colorado, United States|Children's National Medical Center: Inner City Asthma Consortium (ICAC) Site, Washington, District of Columbia, United States|Ann & Robert H. Lurie Children's Hospital of Chicago: Food Allergy Outcomes Related to White and African American Racial Differences (FORWARD) and Improving Technology-Assisted Recording of Asthma Control in Children (iTRACC) Site, Chicago, Illinois, United States|Massachusetts General Hospital:Childhood Microbiome (CHIME) and Wheezing Index (WIND) Site, Boston, Massachusetts, United States|Boston Children's Hospital: School Inner-City Asthma Study (SICAS-2), Environmental Assessment of Sleep in Youth (EASY), Severe Asthma Research Program (SARP) and Preventing Asthma in High Risk Kids (PARK) Site, Boston, Massachusetts, United States|Boston Medical Center: Inner City Asthma Consortium (ICAC) Site, Boston, Massachusetts, United States|Henry Ford Health System: Childhood Allergy Study (CAS) Site, Detroit, Michigan, United States|Henry Ford Health System: Inner City Asthma Consortium (ICAC) Site, Detroit, Michigan, United States|Henry Ford Health System: Microbes, Asthma, Allergy and Pets (MAAP) and Wayne County Health, Environment, Allergy, and Asthma Longitudinal Study (WHEALS) Site, Detroit, Michigan, United States|St. Louis Children's Hospital: Inner City Asthma Consortium (ICAC) Site, Saint Louis, Missouri, United States|Columbia University Medical Center: Inner City Asthma Consortium (ICAC) Site, New York, New York, United States|Cincinnati Children's Hospital Medical Center: Greater Cincinnati Pediatric Clinic Repository (GCPCR) and Mechanisms of Progression of Atopic Dermatitis to Asthma in Children (MPAACH) Site, Cincinnati, Ohio, United States|Cincinnati Children's Hospital Medical Center: Inner City Asthma Consortium (ICAC) Site, Cincinnati, Ohio, United States|Cincinnati Children's Hospital Medical Center: Outcome Measures in Eosinophilic Gastrointestinal Disorders Across the Ages (OMEGA) Site, Cincinnati, Ohio, United States|Cincinnati Children's Hospital Medical Center:Cincinnati Childhood Allergy & Air Pollution Study (CCAAPS) Site, Cincinnati, Ohio, United States|Vanderbilt University Medical Center: Infant Susceptibility to Pulmonary Infections and Asthma Following RSV Exposure Study (INSPIRE) Site, Nashville, Tennessee, United States|University of Texas Southwestern Medical Center: Inner City Asthma Consortium (ICAC) Site, Dallas, Texas, United States|University of Wisconsin Hospital and Clinics: Childhood Origins of Asthma (COAST) Site, Madison, Wisconsin, United States|University of Wisconsin Hospital and Clinics: Wisconsin Infant Study Cohort (WISC) Site, Madison, Wisconsin, United States",https://ClinicalTrials.gov/show/NCT04375761
NCT04376034,Convalescent Plasma Collection and Treatment in Pediatrics and Adults,Recruiting,All,Phase 3,240,"WVU Medicine, Morgantown, West Virginia, United States",https://ClinicalTrials.gov/show/NCT04376034
NCT04376515,Harnessing Online Peer Education Online Support Intervention for COVID-19 (HOPE COVID-19),"Active, not recruiting",All,Not Applicable,300,"UC Irvine, Irvine, California, United States",https://ClinicalTrials.gov/show/NCT04376515
NCT04376593,PET/CT Imaging in COVID-19 Patients,Enrolling by invitation,All,Early Phase 1,10,"University of California Davis, Sacramento, California, United States",https://ClinicalTrials.gov/show/NCT04376593
NCT04376684,Investigating Otilimab in Patients With Severe Pulmonary COVID-19 Related Disease,Recruiting,All,Phase 2,1150,"GSK Investigational Site, Mobile, Alabama, United States|GSK Investigational Site, Little Rock, Arkansas, United States|GSK Investigational Site, Sacramento, California, United States|GSK Investigational Site, Torrance, California, United States|GSK Investigational Site, Gainesville, Florida, United States|GSK Investigational Site, Winfield, Illinois, United States|GSK Investigational Site, Baltimore, Maryland, United States|GSK Investigational Site, Germantown, Maryland, United States|GSK Investigational Site, Silver Spring, Maryland, United States|GSK Investigational Site, Saint Louis Park, Minnesota, United States|GSK Investigational Site, Saint Paul, Minnesota, United States|GSK Investigational Site, Jackson, Mississippi, United States|GSK Investigational Site, Reno, Nevada, United States|GSK Investigational Site, Buffalo, New York, United States|GSK Investigational Site, Charlotte, North Carolina, United States|GSK Investigational Site, Toledo, Ohio, United States|GSK Investigational Site, Doylestown, Pennsylvania, United States|GSK Investigational Site, Philadelphia, Pennsylvania, United States|GSK Investigational Site, Roanoke, Virginia, United States|GSK Investigational Site, Tacoma, Washington, United States|GSK Investigational Site, Milwaukee, Wisconsin, United States|GSK Investigational Site, Munro, Buenos Aires, Argentina|GSK Investigational Site, Cordoba, Córdova, Argentina|GSK Investigational Site, Buenos Aires, Argentina|GSK Investigational Site, Buenos Aires, Argentina|GSK Investigational Site, Cordoba, Argentina|GSK Investigational Site, Cordoba, Argentina|GSK Investigational Site, Corrientes, Argentina|GSK Investigational Site, Brussel, Belgium|GSK Investigational Site, Yvoir, Belgium|GSK Investigational Site, Belo Horizonte, Minas Gerais, Brazil|GSK Investigational Site, Porto Alegre, Rio Grande Do Sul, Brazil|GSK Investigational Site, São Paulo, Brazil|GSK Investigational Site, São Paulo, Brazil|GSK Investigational Site, São Paulo, Brazil|GSK Investigational Site, São Paulo, Brazil|GSK Investigational Site, Vancouver, British Columbia, Canada|GSK Investigational Site, Ottawa, Ontario, Canada|GSK Investigational Site, Montréal, Quebec, Canada|GSK Investigational Site, QC, Quebec, Canada|GSK Investigational Site, St-Jerome, Quebec, Canada|GSK Investigational Site, Talca, Región Del Maule, Chile|GSK Investigational Site, Santiago, Chile|GSK Investigational Site, Amiens Cedex 1, France|GSK Investigational Site, Angers Cedex 9, France|GSK Investigational Site, Argenteuil, France|GSK Investigational Site, Ars-Laquenexy, France|GSK Investigational Site, La Roche-Sur-Yon, France|GSK Investigational Site, La Tronche, France|GSK Investigational Site, Limoges Cedex, France|GSK Investigational Site, Melun, France|GSK Investigational Site, Paris, France|GSK Investigational Site, Pierre-Bénite, France|GSK Investigational Site, Strasbourg cedex, France|GSK Investigational Site, Strasbourg, France|GSK Investigational Site, Valenciennes Cedex, France|GSK Investigational Site, Aurangabad, India|GSK Investigational Site, Aurangabad, India|GSK Investigational Site, Hyderabad, India|GSK Investigational Site, Kolkata, India|GSK Investigational Site, Kolkata, India|GSK Investigational Site, Mumbai, India|GSK Investigational Site, Nagpur, India|GSK Investigational Site, New Delhi, India|GSK Investigational Site, Pune, India|GSK Investigational Site, Pune, India|GSK Investigational Site, Surat, India|GSK Investigational Site, Aichi, Japan|GSK Investigational Site, Kanagawa, Japan|GSK Investigational Site, Kanagawa, Japan|GSK Investigational Site, Osaka, Japan|GSK Investigational Site, Osaka, Japan|GSK Investigational Site, Saitama, Japan|GSK Investigational Site, Tokyo, Japan|GSK Investigational Site, Tokyo, Japan|GSK Investigational Site, Tokyo, Japan|GSK Investigational Site, Tokyo, Japan|GSK Investigational Site, Tokyo, Japan|GSK Investigational Site, Mexico City, Ciudad De Mexico, Mexico|GSK Investigational Site, Guadalajara, Jalisco, Mexico|GSK Investigational Site, Monterrey, Nuevo León, Mexico|GSK Investigational Site, Mexico, Mexico|GSK Investigational Site, Breda, Netherlands|GSK Investigational Site, Den Bosch, Netherlands|GSK Investigational Site, Enschede, Netherlands|GSK Investigational Site, Nijmegen, Netherlands|GSK Investigational Site, Rotterdam, Netherlands|GSK Investigational Site, Lima, Peru|GSK Investigational Site, Lima, Peru|GSK Investigational Site, Lima, Peru|GSK Investigational Site, Lima, Peru|GSK Investigational Site, Bydgoszcz, Poland|GSK Investigational Site, Krakow, Poland|GSK Investigational Site, Poznan, Poland|GSK Investigational Site, Warszawa, Poland|GSK Investigational Site, Wroclaw, Poland|GSK Investigational Site, Ekaterinburg, Russian Federation|GSK Investigational Site, Moscow, Russian Federation|GSK Investigational Site, Nizhniy Novgorod, Russian Federation|GSK Investigational Site, Omsk, Russian Federation|GSK Investigational Site, Perm, Russian Federation|GSK Investigational Site, St. Petersburg, Russian Federation|GSK Investigational Site, Ufa, Russian Federation|GSK Investigational Site, Voronezh, Russian Federation|GSK Investigational Site, Benoni, Gauteng, South Africa|GSK Investigational Site, Johannesburg, Gauteng, South Africa|GSK Investigational Site, Durban, KwaZulu- Natal, South Africa|GSK Investigational Site, Muckleneuk Pretoria, South Africa|GSK Investigational Site, Panorama,, South Africa|GSK Investigational Site, Tygerberg, South Africa|GSK Investigational Site, Worcester, South Africa|GSK Investigational Site, Barcelona, Spain|GSK Investigational Site, L'Hospitalet de Llobregat, Spain|GSK Investigational Site, Logroño, Spain|GSK Investigational Site, Madrid, Spain|GSK Investigational Site, Madrid, Spain|GSK Investigational Site, Madrid, Spain|GSK Investigational Site, San Sebastián De Los Reyes/Madrid, Spain|GSK Investigational Site, Manchester, Greater Manchester, United Kingdom|GSK Investigational Site, Bradford, United Kingdom|GSK Investigational Site, Liverpool, United Kingdom|GSK Investigational Site, Middlesbrough, United Kingdom|GSK Investigational Site, Newcastle Upon Tyne, United Kingdom",https://ClinicalTrials.gov/show/NCT04376684
NCT04376710,Surgical Telemedicine in the COVID-19 Pandemic Era,Completed,All,,180,"Children's Hospital Colorado, Aurora, Colorado, United States",https://ClinicalTrials.gov/show/NCT04376710
NCT04377100,Impact on Anxiety and Motivation of COVID-19 and Predictors of Individual Responses,Recruiting,All,Not Applicable,6000,"National Institute of Mental Health (NIMH), Bethesda, Maryland, United States",https://ClinicalTrials.gov/show/NCT04377100
NCT04377308,Fluoxetine to Reduce Intubation and Death After COVID19 Infection,Recruiting,All,Phase 4,2000,"University of Toledo, Toledo, Ohio, United States",https://ClinicalTrials.gov/show/NCT04377308
NCT04377412,Risk Factors for Anxiety and Depression Among Pregnant Women During the COVID-19 Pandemic,Recruiting,Female,,8500,"Wayne State University, Detroit, Michigan, United States|University of Medicine Tirana, Tirana, Albania|Royal Prince Alfred Hospital, Sydney, Australia|Charles University, Prague, Czechia|Université de Paris, Paris, France|Charité - University Medicine Berlin, Berlin, Germany|The Chinese University of Hong Kong, Hong Kong, Hong Kong|Meir Medical Center, Kafr Saba, Israel|University of Brescia, Brescia, Italy|American University of Beirut, Beirut, Lebanon|The Arctic University of Norway, Tromsø, Norway|Nicolaus Copernicus University in Toruń, Collegium Medicum in Bydgoszcz, Bydgoszcz, Poland|Pomeranian Medical University, Szczecin, Poland|Centre of Postgraduate Medical Education, Warsaw, Poland|11. Fundación Para la Investigación y el Desarrollode la Medicina Materno-Fetal y Neonatal ""iMaterna"", Madrid, Spain|Karolinska Institutet, Stockholm, Sweden|Taiji Clinic, Taipei, Taiwan",https://ClinicalTrials.gov/show/NCT04377412
NCT04377581,"COVID-19 Health Messaging Efficacy and Its Impact on Public Perception, Anxiety, and Behavior",Completed,All,,18251,"Penn State College of Medicine, Hershey, Pennsylvania, United States",https://ClinicalTrials.gov/show/NCT04377581
NCT04377620,Assessment of Efficacy and Safety of Ruxolitinib in Participants With COVID-19-Associated ARDS Who Require Mechanical Ventilation (RUXCOVID-DEVENT),Terminated,All,Phase 3,211,"Honor Health Research Institute, Scottsdale, Arizona, United States|Sharp Memorial Hospital, San Diego, California, United States|Georgetown University Hospital, Washington, District of Columbia, United States|Teradan Clinical Trials, Brandon, Florida, United States|University of Florida, Gainesville, Florida, United States|Tampa General Hospital, Tampa, Florida, United States|University of South Florida, Tampa, Florida, United States|Northshore University Health System, Chicago, Illinois, United States|Loyola University Medical Center, Maywood, Illinois, United States|Indiana University Simon Cancer Center, Indianapolis, Indiana, United States|Indiana University Health Central Indiana Cancer Centers, Indianapolis, Indiana, United States|East Jefferson General Hospital, Metairie, Louisiana, United States|Johns Hopkins University, Baltimore, Maryland, United States|Boston Medical Center, Boston, Massachusetts, United States|Lahey Hospital & Medical Center, Burlington, Massachusetts, United States|University of Massachusetts Medical School, Worcester, Massachusetts, United States|Healthpartners Cancer Care Center - Regions Hospital, Saint Paul, Minnesota, United States|Mercy Research, Springfield, Missouri, United States|Hackensack University Medical Center, Hackensack, New Jersey, United States|Rutgers Njms Clinical Research Unit, Newark, New Jersey, United States|Holy Name Medical Center, Teaneck, New Jersey, United States|University of Rochester Medical Center, Rochester, New York, United States|Duke University Medical Center, Durham, North Carolina, United States|East Carolina University, Greenville, North Carolina, United States|University of Cincinnati, Cincinnati, Ohio, United States|Kettering Cancer Care, Dayton, Ohio, United States|Jefferson University Hospitals, Philadelphia, Pennsylvania, United States|Temple University, Philadelphia, Pennsylvania, United States|West Penn Hospital, Pittsburgh, Pennsylvania, United States|Allegheny Health Network, Wexford, Pennsylvania, United States|St David'S Medical Center, Austin, Texas, United States|University of Texas Health Science Center At Houston - McGovern Medical School, Houston, Texas, United States|University of Texas Health Science Cente, San Antonio, Texas, United States|Wenatchee Valley Hospital and Clinics, Wenatchee, Washington, United States|Aurora Research Institute, Milwaukee, Wisconsin, United States|Sbih City Hospital 15, Saint Petersburg, Russian Federation",https://ClinicalTrials.gov/show/NCT04377620
NCT04377659,Tocilizumab for Prevention of Respiratory Failure in Patients With Severe COVID-19 Infection,"Active, not recruiting",All,Phase 2,9,"Memorial Sloan Kettering Cancer Center, New York, New York, United States",https://ClinicalTrials.gov/show/NCT04377659
NCT04377672,Human Convalescent Plasma for High Risk Children Exposed or Infected With SARS-CoV-2 (COVID-19),Recruiting,All,Phase 1,30,"Johns Hopkins Hospitals, Baltimore, Maryland, United States",https://ClinicalTrials.gov/show/NCT04377672
NCT04377711,A Study of the Safety and Efficacy of Ciclesonide in the Treatment of Non-hospitalized COVID-19 Patients,Completed,All,Phase 3,400,"University of Buffalo, Buffalo, New York, United States",https://ClinicalTrials.gov/show/NCT04377711
NCT04378595,Assessing Pediatric Food Insecurity During the COVID-19 Pandemic in Austin,Recruiting,All,,1000,"Dell Medical School, Austin, Texas, United States|CommUnity Care Clinic - Southeast Health and Wellness Clinic, Austin, Texas, United States|CommUnity Care Clinic - Rundberg, Austin, Texas, United States",https://ClinicalTrials.gov/show/NCT04378595
NCT04378777,Immunophenotyping Assessment in a COVID-19 Cohort,"Active, not recruiting",All,,1227,"University of Arizona (UA) College of Medicine - Tucson: UA Health Sciences Asthma and Airway Disease Research Center, Tucson, Arizona, United States|University of California, Los Angeles: Department of Medicine, Los Angeles, California, United States|University of California San Francisco School of Medicine, San Francisco, California, United States|Stanford Medicine: Sean N. Parker Center for Allergy & Asthma Research, Stanford, California, United States|Yale School of Medicine, New Haven, Connecticut, United States|University of Florida Health Gainesville, Gainesville, Florida, United States|University of Florida Health Jacksonville, Jacksonville, Florida, United States|University of South Florida Health Tampa, Tampa, Florida, United States|Emory University School of Medicine, Atlanta, Georgia, United States|Brigham and Women's Hospital, Boston, Massachusetts, United States|Icahn School of Medicine at Mount Sinai, New York, New York, United States|University Hospitals Case Medical Center, Cleveland, Ohio, United States|University of Oklahoma ,Oklahoma Health Sciences Center: Pulmonary/Critical Care, Department of Medicine, Oklahoma City, Oklahoma, United States|Oregon Health & Science University, Portland, Oregon, United States|Drexel University College of Medicine, Philadelphia, Pennsylvania, United States|University of Texas at Austin: UT Health Austin, Austin, Texas, United States|Baylor College of Medicine: Department of Medicine, Houston, Texas, United States",https://ClinicalTrials.gov/show/NCT04378777
NCT04378803,Mindfulness Training for Seniors,Completed,All,Not Applicable,53,"University of Miami, Coral Gables, Florida, United States",https://ClinicalTrials.gov/show/NCT04378803
NCT04378881,Simulation of Risk of Adverse Drug Events Associated With the Initiation of Drugs Repurposed for the Treatment of COVID-19 in Adults With Polypharmacy Using Data From Large Medicare and Commercially Insured Populations,"Active, not recruiting",All,,100,"Tabula Rasa HealthCare Precision Pharmacotherapy Research and Development Institute, Orlando, Florida, United States",https://ClinicalTrials.gov/show/NCT04378881
NCT04379089,Neurologic Manifestations of COVID 19 in Children,Recruiting,All,,1000,"UPMC Children's Hospital of Pittsburgh, Pittsburgh, Pennsylvania, United States",https://ClinicalTrials.gov/show/NCT04379089
NCT04379284,Risks of COVID19 in the Pregnant Population,Recruiting,Female,,100,"Mayo Clinic Rochester, Rochester, Minnesota, United States",https://ClinicalTrials.gov/show/NCT04379284
NCT04379375,Nudges to Improve Health Behaviors That Limit COVID-19 Spread,Terminated,All,Not Applicable,45,"Medical College of Wisconsin, Milwaukee, Wisconsin, United States",https://ClinicalTrials.gov/show/NCT04379375
NCT04379492,A Study of Hydroxycholoroquine Compared to Placebo as Treatment for People With COVID-19,Withdrawn,All,Phase 2,0,"Memorial Sloan - Kettering Cancer Center, New York, New York, United States",https://ClinicalTrials.gov/show/NCT04379492
NCT04379518,Rintatolimod and IFN Alpha-2b for the Treatment of Mild or Moderate COVID-19 Infection in Cancer Patients,Recruiting,All,Phase 1|Phase 2,44,"Roswell Park Cancer Institute, Buffalo, New York, United States",https://ClinicalTrials.gov/show/NCT04379518
